ID,Account,passwordSHA256,Status,Role
DF0EF35D-86C4-0D97-774C-9FA54347D4D3,NJIHLV,036843b3302cf7824e73410ecc7277d7cb9bd690a620d18ba4addf9bc3cdad55,1,2
9C5F63DC-96EE-8454-DE42-422D5800BED7,JCRRUL,a0f4e4773d449e735cfbade62a4e4e5fd3c3cf26bf348bb1ce705b09b00d6a80,1,1
CA09CB7B-349A-E8F1-A703-A9F602F4124B,EUCISD,85d748b3ecc5254842cc3d03157b2112cda0c9c0ecb870e53c36c63fbbf324d9,1,1
4F3DE021-919B-9CB1-D918-64D244AD65D5,BLUONV,76a5ba88251b4749d317a3b872069369ff2c83ecb67e57d0018e2c06bb4c3975,0,1
E37B3BD9-1122-F6D5-D2FF-3DA9A0F86B0E,BMSWRJ,761a5227eee9ac826a1511e9fec608808dc036416bbf3dfffaf9783b76e69cb2,0,1
FA17C70B-F7FF-B0B0-2D2C-F7B1E2202645,KFPYMT,d7ff713247dc68b09180672d4d829d039725e9c777dcb238ca8018e14a7d9b7e,0,2
50479C5D-8BA2-A726-B0F1-C5F1264DB940,WZQYSH,c703e144e20f29b19b369e7833281b9c36ba25cce99dba90dcfd8551aca1253b,0,1
3D7054A4-6DD7-7772-9FAB-FF098C0D9C2B,VNKVRF,bc976b8190fdb8fc3e250dd03ea719a0d007353c182b758f2f7b4b75b7b68e67,0,1
79443CBA-BE28-B426-457B-4EE2ADA7D955,AZXGMW,9710e762c715105ed58a255905115a978e6e3198abbb0da46bb2056d4c914bc0,1,2
47B367CF-BD70-1369-56B5-4FCC2697F43E,ODGWRJ,1fc1569c6bdfc4545dae8f148674ff5513ca41e43629b06c29fa4fd39f704615,0,1
95CE0A0D-9050-6982-BB73-52126892C394,OALRRD,8ddd1804525f5ef221b27e096bec64dc509d6cce60d4f8f5433b01c63a1dec77,1,2
6ED638BB-E637-FBF7-DF85-A67428A49CDA,NWJDDS,7cfbbab21faa85d80194de7b75fe28438e7b9c6a172ac0be700918ba069eac1c,1,2
E0293F9B-5D87-EB8B-F5C3-67C192710B09,TBIGAC,4d29a177cb7d7fcde05f05d276c647778e43d7a844eff2729d2351ebc946bdd8,0,1
0852E63D-B3D4-16D1-D033-1A9F139F76F1,YDMGEU,fcd4088e017d341c72d2c69717e28e1a1d957d2ae1d6abc789080c22d3ec95e5,0,1
921E45DB-AB77-903B-0441-F30EDA14B844,DWBUJC,1f9a566b3b0698f502b964324aade2bad4c2bb731ad6ab07d2fe3c4cf114428d,1,1
40E09332-DD36-4E0C-7254-9E5FEFBB1057,RDXKEC,f370e555f4413b33d34d19a0fa083937a25b191c3dedeb2efb9d4e6e5bc68178,0,2
16D07773-580C-F697-4678-55D7B5E2351C,PZBCKR,19f0b46a2f24b7082a251097a748a6682d61360c5542c38f24cc4f830c1cf4e5,1,2
F01DFBA2-99E7-933E-DC13-70C23E606586,MVJXYG,a39e8d79df19a297d9da2f41e8cc040d15f70b93d21b9697b4f293bb1f3f1410,0,1
A6CE6ACC-B8B1-BB31-C611-3FF3D1382F3C,THFQYS,db81b245a32bda1ec9f53bb27f23372a3656bcd0d8f25853068c196b81fa8d12,1,1
623C3A11-CAD2-556B-FEB2-7DD55727E782,DGCLJQ,db7288a137761bb1eb39a1a8e1a9c41752b555129bee4fae8605dc8d51d5f561,0,1
5C6A5DA1-2E6F-28F8-460F-CEB540CADEFB,TRXDXR,1568175313cb5d57194b8e63df382d520b6bc102d0374ab2d39ed9ce5c970f07,0,1
314C9B3F-5017-00F4-BB6D-7575DB69B460,XCLRNV,a377fade1d3dc23eb06aa140d6797d0d99c34fc2112cefa77ad26b0d4cfeae9a,0,2
617DBEAC-8500-A6E3-5474-E7867730903C,JXKCZL,cfd2877cbc4eac718a662c58eddea86128211032e5421b93197d30e00a0b6f0a,0,1
813E1DAE-262A-062D-3A7D-A8BA7753BAFE,ZIRVQG,ec45bc6002b1d1750bbcc8e5971518408548672b808b430e25319f0eab60f96d,0,1
74158A94-E97C-3DFF-5573-ED70C41F3BCD,LZFWCJ,311c1b3221dd4e71d9d0257ccdcc1188c1e2022f97778c7b2511adea9e8dc1ca,1,2
45943514-E51C-A7E6-3BF3-D8707DC4D561,KIYQHS,5295af45f261b42fdf674a4c591bdb3f783de8116ffe4ed4c0e3657d49e953c7,1,1
EC4141B6-AAC5-C24E-D3B8-E5385B8D5B34,JLPVHW,d19992fa0faaccf9de36fa8841854d2a932939d856ac4dc07e4b8fdce01630a5,0,2
5E0D810D-5F73-4CF7-03A6-9D8807B750FB,VOZZOL,0123f50334a0dd85ece1899141ad3f0e7add83bec184c9a040526826c0c1194b,0,1
4576E9EC-80E2-926C-D1BA-E527C6AAEAD5,UGQPBM,c4c9ca0f3309941c99b2682411fe156be5334bd85b760d5f88d19b432222bd07,1,1
195D0DF6-FD93-019E-BF63-9129AB3697DA,XQTXQV,6b321e6e36a8c2949ee232dbc47cd4096f846101709e1305e2acd43a6dd7a29e,1,2
C99D58F6-5F4D-37C6-E41D-E79FE3C15389,SSZKOL,4e013c00091565641a10b8fd8f356188e437bd0ccf03bf5cc79bb13eef9df31b,0,1
E90D997F-E071-D4D3-1294-81CA6EFA24AC,XGNNEU,4a42ae84c60654dd83acef3b4a310cc97e35ca75daeb7f03af01757a8b09abe6,1,1
62923FEF-6A48-EDB4-EF7B-52CC1019B338,UODJKY,629859a63105aaefb1ef957efbb0decaf36c4bc4d7dfa185990eefe205306932,0,1
32536927-9E19-34B1-812E-FD78016D49C0,RMAYAE,fea618ae2d731d65f9836cc9807dbfa56f90fe4b3dec5bf7d5007cdbda5fbe8d,1,1
94A1230F-A2D6-A46C-2F7E-F9C4617C8CAC,JQULJF,cade7f7e02ae9f72202d12a55ee3d2b1bcac33a1f276370f8791336619012894,1,2
4A5D525A-3C97-B344-9393-FDEE3FCFC568,PQFWJO,331930922e8ec811e3611c8b9e46e25ebbcdaa4945f848ee8efdd74302bb6cd9,0,1
C7C679BC-902A-4F77-E4DD-62F780FB72C7,UPXVRP,3b6ead7821a846e14aafc63a3089eb66437eed658f8067cea6920b1192c13b76,1,2
781F287F-D6AE-C60D-3A98-FDC72D9AA8ED,GDUBVD,e184515347096511bb66a64bafb137a330d43cfa126c10c0ab41a53473026804,0,1
ED77FD6E-C4B6-342A-A9FB-C6916246C33C,CSMFEG,e60526dbe1dc79fbb1aa8140e69d78bc7abc615d657979978d4c7af55b4fbd86,0,1
F3F3D9E7-30ED-1DCA-BAEF-75E82B7F6099,KJTWZN,6cc12a06ce6fa963558bbb362261c565233b25947a0a9345e89fc46955e57b70,0,1
14390C3C-64B5-97E5-CAA1-BCF9444F98F3,LQYXXE,cb582f42cb4b104e5362c11f0c2978a59a00d3e080ceef5242a556c08d50babf,0,1
E4D22D1B-0226-6030-FADF-94BA254107D3,WCPYDU,d7e76227b10d5437d16e2d61564f64da679681a900600e4621ad539f27727a12,0,2
09A5E657-1E6C-C55B-69BF-6FB8812C4716,UOQPRM,c5ef9ee167bf0ab2549324110e9f176c0caa28cb7864580f2714cab7eb328a71,0,1
A17E7F22-F82D-96AE-1CA6-BCC76E157F93,ADVLUM,af890e0437f22bc96b7f72565f91b5583dc0f7aeffa1dff9240b04915b42c595,0,2
4E14E194-DCCF-C4EC-0CD3-3A460DE7FC43,BDQNFT,45885ca3e1865a6f098df736c57d5f020a0b7cb5d55ff2609e91f80f1fdcdbbd,0,1
58DCD4D2-D8B6-8163-A41A-3AC5106008B3,GGXWMM,ea550ef2089ec0f7646d6d15673016f2279d0612ec3f98c97a5fd0173cee9bf8,0,1
D227CB6D-8B12-0ED5-FB04-A8F41E627EE6,HITGBQ,c0c9d133f2b5146c173c322766c7adbac8af9c0da560bbfbc726f259579c541a,1,2
B1BB7FFD-DA2C-AA46-DEBB-65189E1BAC4F,ZBCVUI,39874d6e1eadfc04132ac04cea92681afb04aed61769e52f7de76da96ca5317f,1,1
5DC53756-477C-F7AA-D478-54DD97548D06,NPVTHB,84d1dceb98c523b2bcfbe22cf3a4e632cec881b45de67c31ad34dfbbb9c3a7ce,1,1
C8CA5573-8ECD-9034-355D-9258876C920C,SSTNQI,0e9f9b2a3bb8e186644547a1743c4a19ce0e2aad6631a0a71ef4b059e2561f4e,0,1
FA489E4E-DA51-CB2C-4C12-7E7399075122,BVSLJW,2d78fa899542cb7a4f1d634f14e268b1e8105e3a76691f79e1b4c0e7aa41cbfe,0,1
0F691E25-50FD-9A46-6A78-10756FF1452C,BGAHJN,556af7d2c287a79823a4fdf7bb4ac7a689b0333ed2c5b1364d52ce0d9e6ed39d,1,1
